LebwohlLasher.py: Size: 20, Steps: 1000, Exp. reps: 1, T*: 0.650: Order: 0.834, Mean ratio : 0.404, Time: 16.600403 s ± 0.000000 s
         2663671 function calls (2648157 primitive calls) in 18.052 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      147    0.005    0.000    0.006    0.000 _compiler.py:243(_optimize_charset)
      537    0.003    0.000    0.006    0.000 enum.py:390(__setitem__)
     1229    0.001    0.000    0.006    0.000 <frozen abc>:117(__instancecheck__)
        3    0.000    0.000    0.006    0.002 patches.py:2283(__init_subclass__)
      515    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        6    0.000    0.000    0.006    0.001 patches.py:2325(pprint_styles)
        1    0.000    0.000    0.006    0.006 backend_tools.py:1(<module>)
      351    0.002    0.000    0.006    0.000 inspect.py:801(_finddoc)
      278    0.001    0.000    0.006    0.000 overrides.py:83(verify_matching_signatures)
     1001    0.002    0.000    0.006    0.000 shape_base.py:215(_vhstack_dispatcher)
       22    0.000    0.000    0.006    0.000 core.py:4930(parseImpl)
    13225    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
     7661    0.004    0.000    0.006    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.006    0.006 socket.py:1(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:244(_check_versions)
        1    0.000    0.000    0.006    0.006 axes3d.py:40(Axes3D)
     1229    0.001    0.000    0.006    0.000 {built-in method _abc._abc_instancecheck}
       16    0.000    0.000    0.006    0.000 typing.py:2790(_make_nmtuple)
        1    0.000    0.000    0.005    0.005 _afm.py:1(<module>)
      210    0.001    0.000    0.005    0.000 _compiler.py:511(_compile_info)
        1    0.000    0.000    0.005    0.005 units.py:1(<module>)
        1    0.000    0.000    0.005    0.005 pickle.py:1(<module>)
       32    0.001    0.000    0.005    0.000 colors.py:1049(from_list)
     2679    0.003    0.000    0.005    0.000 cbook.py:405(_strip_comment)
      409    0.001    0.000    0.005    0.000 rcsetup.py:332(validate_color)
      117    0.000    0.000    0.005    0.000 <frozen abc>:105(__new__)
 1665/190    0.001    0.000    0.005    0.000 <frozen abc>:121(__subclasscheck__)
    38/18    0.000    0.000    0.005    0.000 core.py:4512(parseImpl)
        1    0.000    0.000    0.005    0.005 transforms.py:1(<module>)
        1    0.000    0.000    0.005    0.005 dates.py:1(<module>)
       10    0.000    0.000    0.005    0.000 core.py:5642(__init__)
 1665/190    0.004    0.000    0.005    0.000 {built-in method _abc._abc_subclasscheck}
        7    0.001    0.000    0.005    0.001 enum.py:919(_convert_)
      552    0.002    0.000    0.005    0.000 typing.py:175(_type_check)
     30/9    0.000    0.000    0.005    0.001 core.py:4524(leave_whitespace)
    30827    0.005    0.000    0.005    0.000 {built-in method builtins.callable}
      461    0.001    0.000    0.005    0.000 core.py:522(copy)
      798    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:372(release)
    26/14    0.000    0.000    0.005    0.000 core.py:4242(parseImpl)
     5681    0.003    0.000    0.005    0.000 {built-in method builtins.setattr}
      111    0.001    0.000    0.005    0.000 rcsetup.py:99(f)
        1    0.000    0.000    0.005    0.005 bz2.py:1(<module>)
       66    0.000    0.000    0.004    0.000 core.py:1417(__add__)
       58    0.000    0.000    0.004    0.000 core.py:3066(parseImpl)
        2    0.000    0.000    0.004    0.002 exceptions.py:1(<module>)
      798    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.004    0.004 tz.py:1(<module>)
      420    0.002    0.000    0.004    0.000 enum.py:1562(__and__)
      350    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       20    0.000    0.000    0.004    0.000 core.py:5040(parseImpl)
 1266/411    0.003    0.000    0.004    0.000 _parser.py:178(getwidth)
     5185    0.003    0.000    0.004    0.000 _parser.py:261(get)
      412    0.000    0.000    0.004    0.000 colors.py:221(is_color_like)
     1161    0.002    0.000    0.004    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
        1    0.000    0.000    0.004    0.004 _methods.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _array_like.py:1(<module>)
      461    0.001    0.000    0.004    0.000 copy.py:61(copy)
     1001    0.003    0.000    0.004    0.000 linalg.py:135(_makearray)
     2992    0.004    0.000    0.004    0.000 inspect.py:3072(<genexpr>)
      605    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
     12/6    0.000    0.000    0.004    0.001 functools.py:977(__get__)
    10181    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
      443    0.001    0.000    0.004    0.000 __init__.py:179(sub)
       42    0.001    0.000    0.004    0.000 deprecation.py:131(deprecate)
        6    0.000    0.000    0.004    0.001 core.py:3055(re_match)
       67    0.000    0.000    0.004    0.000 core.py:3909(__init__)
        6    0.000    0.000    0.004    0.001 core.py:3045(re)
      438    0.001    0.000    0.004    0.000 colors.py:275(to_rgba)
        2    0.000    0.000    0.004    0.002 polynomial.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ipaddress.py:1(<module>)
      604    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     62/9    0.000    0.000    0.004    0.000 core.py:3751(leave_whitespace)
       14    0.000    0.000    0.004    0.000 core.py:115(doc_note)
   133/64    0.000    0.000    0.004    0.000 core.py:3843(copy)
        1    0.000    0.000    0.004    0.004 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _tricontour.py:1(<module>)
      241    0.000    0.000    0.004    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
       53    0.000    0.000    0.004    0.000 util.py:240(replaced_by_pep8)
        7    0.000    0.000    0.003    0.000 core.py:2768(__init__)
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
      369    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:420(__exit__)
       86    0.001    0.000    0.003    0.000 core.py:3717(__init__)
       24    0.001    0.000    0.003    0.000 util.py:186(_collapse_string_to_ranges)
       71    0.000    0.000    0.003    0.000 deprecation.py:260(rename_parameter)
        1    0.000    0.000    0.003    0.003 ImagePalette.py:1(<module>)
       18    0.000    0.000    0.003    0.000 rcsetup.py:690(cycler)
      719    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       15    0.000    0.000    0.003    0.000 core.py:618(set_parse_action)
     1715    0.002    0.000    0.003    0.000 typing.py:1215(__setattr__)
        2    0.000    0.000    0.003    0.002 function_base.py:1(<module>)
       19    0.000    0.000    0.003    0.000 core.py:269(_trim_arity)
        1    0.000    0.000    0.003    0.003 rrule.py:1(<module>)
       44    0.000    0.000    0.003    0.000 _base.py:67(__set_name__)
        1    0.000    0.000    0.003    0.003 decoder.py:1(<module>)
     4311    0.003    0.000    0.003    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.003    0.003 layout_engine.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ExifTags.py:21(Base)
      350    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      245    0.003    0.000    0.003    0.000 core.py:461(__init__)
      351    0.001    0.000    0.003    0.000 inspect.py:791(_findclass)
     1031    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      691    0.002    0.000    0.003    0.000 inspect.py:176(get_annotations)
     2002    0.002    0.000    0.003    0.000 linalg.py:153(_realType)
        1    0.000    0.000    0.003    0.003 traceback.py:221(extract_stack)
      768    0.002    0.000    0.003    0.000 inspect.py:754(unwrap)
        1    0.000    0.000    0.003    0.003 traceback.py:377(extract)
        1    0.000    0.000    0.003    0.003 traceback.py:399(_extract_from_extended_frame_gen)
        1    0.000    0.000    0.003    0.003 extras.py:1(<module>)
       38    0.000    0.000    0.003    0.000 traceback.py:318(line)
        8    0.001    0.000    0.003    0.000 enum.py:1708(convert_class)
     9402    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.003    0.003 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.003    0.003 platform.py:1(<module>)
        3    0.000    0.000    0.003    0.001 _common.py:1(<module>)
        2    0.000    0.000    0.003    0.001 linecache.py:26(getline)
        2    0.000    0.000    0.003    0.001 linecache.py:36(getlines)
        1    0.000    0.000    0.003    0.003 linecache.py:80(updatecache)
        1    0.000    0.000    0.003    0.003 decimal.py:1(<module>)
    45/12    0.000    0.000    0.003    0.000 typing.py:1294(__getitem__)
       39    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        2    0.000    0.000    0.003    0.001 dataclasses.py:1264(wrap)
        2    0.000    0.000    0.003    0.001 dataclasses.py:921(_process_class)
        1    0.000    0.000    0.003    0.003 _fontconfig_pattern.py:55(_make_fontconfig_parser)
      169    0.001    0.000    0.003    0.000 colors.py:322(_to_rgba_no_colorcycle)
     6507    0.002    0.000    0.003    0.000 enum.py:1129(__new__)
      597    0.000    0.000    0.003    0.000 __init__.py:164(match)
        2    0.000    0.000    0.003    0.001 core.py:5932(srange)
     5930    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
        1    0.002    0.002    0.003    0.003 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.003    0.003 ctypeslib.py:1(<module>)
1480/1310    0.002    0.000    0.003    0.000 {method 'update' of 'dict' objects}
      317    0.000    0.000    0.003    0.000 function_base.py:497(add_newdoc)
        1    0.000    0.000    0.003    0.003 core.py:394(ParserElement)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
       22    0.000    0.000    0.002    0.000 core.py:5173(parseImpl)
     2690    0.002    0.000    0.002    0.000 _parser.py:176(append)
     2032    0.002    0.000    0.002    0.000 {method 'astype' of 'numpy.ndarray' objects}
       85    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
       67    0.002    0.000    0.002    0.000 colors.py:1102(reversed)
        1    0.000    0.000    0.002    0.002 __init__.py:469(StrFormatStyle)
     6298    0.002    0.000    0.002    0.000 _parser.py:240(__next)
     3526    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      703    0.001    0.000    0.002    0.000 {built-in method builtins.max}
       39    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
      255    0.000    0.000    0.002    0.000 typing.py:1174(__init__)
      798    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.002    0.002 getlimits.py:162(_register_known_types)
        1    0.000    0.000    0.002    0.002 _typing.py:1(<module>)
  273/173    0.000    0.000    0.002    0.000 core.py:1908(name)
     6479    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
     78/4    0.000    0.000    0.002    0.001 core.py:962(_parseCache)
        1    0.000    0.000    0.002    0.002 lzma.py:1(<module>)
        1    0.000    0.000    0.002    0.002 struct.py:1(<module>)
  215/118    0.000    0.000    0.002    0.000 core.py:1878(default_name)
      672    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
        1    0.000    0.000    0.002    0.002 expat.py:1(<module>)
      334    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     22/3    0.000    0.000    0.002    0.001 core.py:3944(streamline)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
       32    0.001    0.000    0.002    0.000 colors.py:416(to_rgba_array)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
       14    0.000    0.000    0.002    0.000 hashlib.py:126(__get_openssl_constructor)
      302    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      201    0.000    0.000    0.002    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.002    0.002 _char_codes.py:1(<module>)
     5486    0.002    0.000    0.002    0.000 {method 'find' of 'str' objects}
       39    0.000    0.000    0.002    0.000 typing.py:521(__getitem__)
        1    0.000    0.000    0.002    0.002 figure.py:118(FigureBase)
