LebwohlLasher.py: Size: 50, Steps: 50, Exp. reps: 1, T*: 0.500: Order: 0.427, Mean ratio : 0.466, Time: 2.821494 s ± 0.000000 s
         1445791 function calls (1430277 primitive calls) in 3.523 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      798    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
     7188    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.004    0.004 cbook.py:1(<module>)
        1    0.000    0.000    0.004    0.004 dates.py:1(<module>)
      745    0.002    0.000    0.004    0.000 functools.py:35(update_wrapper)
   306/12    0.001    0.000    0.004    0.000 core.py:811(_parseNoCache)
    72/12    0.000    0.000    0.004    0.000 core.py:3994(parseImpl)
        1    0.000    0.000    0.004    0.004 _secondary_axes.py:1(<module>)
      652    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.004    0.004 parse.py:1(<module>)
        1    0.000    0.000    0.004    0.004 legend.py:1(<module>)
        2    0.000    0.000    0.004    0.002 exceptions.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _array_like.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ticker.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _mathtext.py:1(<module>)
      350    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
       10    0.000    0.000    0.003    0.000 util.py:251(_inner)
       10    0.000    0.000    0.003    0.000 core.py:5642(__init__)
      798    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
      302    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
      409    0.000    0.000    0.003    0.000 rcsetup.py:332(validate_color)
     30/9    0.000    0.000    0.003    0.000 core.py:4524(leave_whitespace)
       32    0.000    0.000    0.003    0.000 colors.py:1049(from_list)
        1    0.000    0.000    0.003    0.003 _tricontour.py:1(<module>)
        2    0.000    0.000    0.003    0.002 __init__.py:12(__getattr__)
        1    0.000    0.000    0.003    0.003 units.py:1(<module>)
     7661    0.002    0.000    0.003    0.000 _parser.py:168(__getitem__)
      461    0.000    0.000    0.003    0.000 core.py:522(copy)
        1    0.000    0.000    0.003    0.003 rrule.py:1(<module>)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      537    0.001    0.000    0.003    0.000 enum.py:390(__setitem__)
       16    0.000    0.000    0.003    0.000 typing.py:2809(__new__)
        2    0.000    0.000    0.003    0.001 version.py:1(<module>)
       50    0.003    0.000    0.003    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
      111    0.000    0.000    0.003    0.000 rcsetup.py:99(f)
        1    0.000    0.000    0.003    0.003 bz2.py:1(<module>)
     1229    0.000    0.000    0.003    0.000 <frozen abc>:117(__instancecheck__)
      210    0.001    0.000    0.003    0.000 _compiler.py:511(_compile_info)
        1    0.000    0.000    0.003    0.003 backend_tools.py:1(<module>)
      461    0.001    0.000    0.003    0.000 copy.py:61(copy)
        7    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
      552    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
      117    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.003    0.003 utils.py:1(<module>)
      412    0.000    0.000    0.003    0.000 colors.py:221(is_color_like)
        1    0.000    0.000    0.003    0.003 _afm.py:1(<module>)
      683    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.003    0.003 spines.py:1(<module>)
     62/9    0.000    0.000    0.002    0.000 core.py:3751(leave_whitespace)
     2679    0.001    0.000    0.002    0.000 cbook.py:405(_strip_comment)
   133/64    0.000    0.000    0.002    0.000 core.py:3843(copy)
    30827    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
       22    0.000    0.000    0.002    0.000 core.py:4930(parseImpl)
     1229    0.000    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      351    0.001    0.000    0.002    0.000 inspect.py:801(_finddoc)
      278    0.001    0.000    0.002    0.000 overrides.py:83(verify_matching_signatures)
       16    0.000    0.000    0.002    0.000 typing.py:2790(_make_nmtuple)
    45/12    0.000    0.000    0.002    0.000 typing.py:1294(__getitem__)
        1    0.000    0.000    0.002    0.002 _dtype_like.py:1(<module>)
    11325    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 ImagePalette.py:1(<module>)
      241    0.000    0.000    0.002    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
      147    0.002    0.000    0.002    0.000 _compiler.py:243(_optimize_charset)
        1    0.000    0.000    0.002    0.002 transforms.py:1(<module>)
      438    0.000    0.000    0.002    0.000 colors.py:275(to_rgba)
        7    0.000    0.000    0.002    0.000 core.py:2768(__init__)
 1665/190    0.000    0.000    0.002    0.000 <frozen abc>:121(__subclasscheck__)
       24    0.001    0.000    0.002    0.000 util.py:186(_collapse_string_to_ranges)
 1665/190    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
     1715    0.001    0.000    0.002    0.000 typing.py:1215(__setattr__)
     2992    0.002    0.000    0.002    0.000 inspect.py:3072(<genexpr>)
       53    0.000    0.000    0.002    0.000 util.py:240(replaced_by_pep8)
      798    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
      420    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
       18    0.000    0.000    0.002    0.000 rcsetup.py:690(cycler)
        1    0.000    0.000    0.002    0.002 _ufunc_config.py:1(<module>)
      475    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       66    0.000    0.000    0.002    0.000 core.py:1417(__add__)
    38/18    0.000    0.000    0.002    0.000 core.py:4512(parseImpl)
      350    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      798    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
 1266/411    0.001    0.000    0.002    0.000 _parser.py:178(getwidth)
     5185    0.001    0.000    0.002    0.000 _parser.py:261(get)
        1    0.000    0.000    0.002    0.002 core.py:394(ParserElement)
        1    0.000    0.000    0.002    0.002 axes3d.py:40(Axes3D)
        1    0.000    0.000    0.002    0.002 version.py:161(Version)
    26/14    0.000    0.000    0.002    0.000 core.py:4242(parseImpl)
      515    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    10181    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
       44    0.000    0.000    0.002    0.000 _base.py:67(__set_name__)
     5681    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      257    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      317    0.000    0.000    0.002    0.000 function_base.py:497(add_newdoc)
        3    0.000    0.000    0.002    0.001 _common.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decimal.py:1(<module>)
        1    0.000    0.000    0.002    0.002 tz.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
        2    0.000    0.000    0.002    0.001 dataclasses.py:1264(wrap)
       71    0.000    0.000    0.002    0.000 deprecation.py:260(rename_parameter)
        2    0.000    0.000    0.002    0.001 dataclasses.py:921(_process_class)
       67    0.000    0.000    0.002    0.000 core.py:3909(__init__)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
     4311    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
       58    0.000    0.000    0.002    0.000 core.py:3066(parseImpl)
