LebwohlLasher.py: Size: 20, Steps: 1000, Exp. reps: 1, T*: 0.650: Order: 0.806, Mean ratio : 0.410, Time: 3.863962 s ± 0.000000 s
         9130968 function calls (8727914 primitive calls) in 12.694 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15008    0.033    0.000    0.199    0.000 values.py:544(_to_string)
    35270    0.048    0.000    0.198    0.000 event.py:209(broadcast)
       36    0.001    0.000    0.195    0.005 untyped_passes.py:1762(run_pass)
      843    0.011    0.000    0.194    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       61    0.006    0.000    0.189    0.003 codegen.py:651(_optimize_functions)
297256/296970    0.116    0.000    0.184    0.000 {built-in method builtins.getattr}
    15258    0.016    0.000    0.179    0.000 ffi.py:78(__exit__)
    17635    0.030    0.000    0.178    0.000 event.py:404(end_event)
       36    0.001    0.000    0.174    0.005 typed_passes.py:226(run_pass)
      839    0.001    0.000    0.172    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
11316/10116    0.010    0.000    0.172    0.000 contextlib.py:132(__enter__)
    14447    0.030    0.000    0.172    0.000 instructions.py:13(__init__)
      839    0.004    0.000    0.171    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
  420/174    0.001    0.000    0.171    0.001 context.py:153(refresh)
        3    0.000    0.000    0.170    0.057 decorators.py:1(<module>)
       36    0.002    0.000    0.167    0.005 untyped_passes.py:212(run_pass)
    19033    0.078    0.000    0.165    0.000 values.py:537(__init__)
     1156    0.016    0.000    0.162    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
    13546    0.010    0.000    0.161    0.000 ir.py:608(list_vars)
    15255    0.010    0.000    0.159    0.000 base.py:1249(exit_fn)
     7176    0.085    0.000    0.158    0.000 inspect.py:882(cleandoc)
     3223    0.154    0.000    0.154    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.151    0.151 stencil.py:1(<module>)
    15258    0.016    0.000    0.150    0.000 ffi.py:72(__enter__)
        3    0.000    0.000    0.149    0.050 arrayobj.py:4367(codegen)
        1    0.000    0.000    0.149    0.149 contour.py:1(<module>)
       36    0.001    0.000    0.145    0.004 ssa.py:27(reconstruct_ssa)
      386    0.000    0.000    0.145    0.000 entrypoints.py:23(init_all)
        2    0.000    0.000    0.145    0.072 dispatcher.py:236(_compilation_chain_init_hook)
       36    0.001    0.000    0.144    0.004 ssa.py:48(_run_ssa)
    76294    0.062    0.000    0.144    0.000 event.py:243(notify)
        1    0.000    0.000    0.143    0.143 __init__.py:901(entry_points)
      729    0.143    0.000    0.143    0.000 {built-in method marshal.loads}
       36    0.001    0.000    0.143    0.004 untyped_passes.py:244(run_pass)
        2    0.000    0.000    0.142    0.071 collections.py:1(<module>)
      365    0.001    0.000    0.142    0.000 __init__.py:910(<genexpr>)
     7113    0.008    0.000    0.139    0.000 inspect.py:863(getdoc)
    17635    0.029    0.000    0.138    0.000 event.py:390(start_event)
        1    0.000    0.000    0.137    0.137 backend_bases.py:1(<module>)
     8371    0.013    0.000    0.129    0.000 __init__.py:280(_compile)
    15255    0.010    0.000    0.127    0.000 base.py:1246(enter_fn)
        1    0.001    0.001    0.125    0.125 rcsetup.py:1(<module>)
     2073    0.017    0.000    0.122    0.000 errors.py:320(_markup)
     1584    0.005    0.000    0.121    0.000 context.py:360(_call_incref_decref)
     3162    0.002    0.000    0.119    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2685    0.022    0.000    0.116    0.000 targetconfig.py:196(values)
      228    0.004    0.000    0.116    0.001 module.py:11(parse_assembly)
        1    0.000    0.000    0.116    0.116 special.py:1(<module>)
3780/1566    0.014    0.000    0.116    0.000 context.py:428(install_registry)
        4    0.000    0.000    0.116    0.029 registry.py:1(<module>)
        1    0.000    0.000    0.114    0.114 text.py:1(<module>)
        1    0.000    0.000    0.113    0.113 dispatcher.py:1(<module>)
        4    0.000    0.000    0.113    0.028 context.py:1(<module>)
      939    0.004    0.000    0.113    0.000 context.py:374(resolve_value_type)
     4230    0.006    0.000    0.111    0.000 module.py:220(__next__)
        1    0.000    0.000    0.109    0.109 _axes.py:1(<module>)
      873    0.004    0.000    0.109    0.000 errors.py:536(__init__)
       20    0.000    0.000    0.108    0.005 lowering.py:796(lower_getitem)
      218    0.001    0.000    0.107    0.000 artist.py:1421(__init__)
      271    0.002    0.000    0.106    0.000 _compiler.py:740(compile)
       36    0.002    0.000    0.105    0.003 ssa.py:146(_find_defs_violators)
        1    0.000    0.000    0.105    0.105 compiler.py:1(<module>)
      218    0.032    0.000    0.105    0.000 artist.py:1441(get_aliases)
  444/362    0.004    0.000    0.105    0.000 base.py:526(get_function)
4566/1584    0.014    0.000    0.104    0.000 context.py:343(get_meminfos)
  420/174    0.002    0.000    0.103    0.001 context.py:415(_load_builtins)
      324    0.003    0.000    0.103    0.000 postproc.py:52(deadmaps)
      542    0.003    0.000    0.102    0.000 npydecl.py:196(generic)
      564    0.008    0.000    0.099    0.000 npydecl.py:92(generic)
      952    0.006    0.000    0.098    0.000 typeof.py:27(typeof)
58169/57820    0.042    0.000    0.098    0.000 {method 'join' of 'str' objects}
     1597    0.002    0.000    0.096    0.000 errors.py:335(errmsg)
       36    0.004    0.000    0.095    0.003 inline_closurecall.py:88(run)
        1    0.000    0.000    0.094    0.094 config.py:1(<module>)
