LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.379, Mean ratio: 0.465, Time: 4.340773 s
         1540370 function calls (1524856 primitive calls) in 5.389 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    45/12    0.000    0.000    0.003    0.000 typing.py:1294(__getitem__)
      241    0.000    0.000    0.003    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
       71    0.000    0.000    0.003    0.000 deprecation.py:260(rename_parameter)
      420    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
      798    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.003    0.003 _ufunc_config.py:1(<module>)
 1266/411    0.002    0.000    0.003    0.000 _parser.py:178(getwidth)
    26/14    0.000    0.000    0.003    0.000 core.py:4242(parseImpl)
      350    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      317    0.001    0.000    0.003    0.000 function_base.py:497(add_newdoc)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
        7    0.000    0.000    0.003    0.000 core.py:2768(__init__)
       18    0.000    0.000    0.003    0.000 rcsetup.py:690(cycler)
     1229    0.000    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.003    0.001 core.py:5932(srange)
        2    0.000    0.000    0.003    0.001 dataclasses.py:1264(wrap)
     5681    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
        2    0.000    0.000    0.003    0.001 dataclasses.py:921(_process_class)
       24    0.001    0.000    0.003    0.000 util.py:186(_collapse_string_to_ranges)
     4311    0.003    0.000    0.003    0.000 {built-in method builtins.sorted}
       67    0.003    0.000    0.003    0.000 colors.py:1102(reversed)
        1    0.000    0.000    0.003    0.003 spines.py:1(<module>)
       66    0.000    0.000    0.003    0.000 core.py:1417(__add__)
    10181    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.003    0.003 _afm.py:1(<module>)
      604    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     5185    0.002    0.000    0.003    0.000 _parser.py:261(get)
        1    0.003    0.003    0.003    0.003 {method 'close' of '_io.TextIOWrapper' objects}
 1665/190    0.001    0.000    0.003    0.000 <frozen abc>:121(__subclasscheck__)
        1    0.000    0.000    0.003    0.003 tz.py:1(<module>)
       58    0.000    0.000    0.003    0.000 core.py:3066(parseImpl)
        1    0.000    0.000    0.003    0.003 ipaddress.py:1(<module>)
        1    0.000    0.000    0.003    0.003 ImagePalette.py:1(<module>)
 1665/190    0.002    0.000    0.003    0.000 {built-in method _abc._abc_subclasscheck}
       53    0.000    0.000    0.003    0.000 util.py:240(replaced_by_pep8)
      719    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      605    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
      369    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.003    0.003 version.py:161(Version)
        3    0.000    0.000    0.002    0.001 _common.py:1(<module>)
      255    0.000    0.000    0.002    0.000 typing.py:1174(__init__)
      259    0.001    0.000    0.002    0.000 typing.py:262(_collect_parameters)
      254    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      597    0.000    0.000    0.002    0.000 __init__.py:164(match)
        1    0.000    0.000    0.002    0.002 core.py:394(ParserElement)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
      169    0.001    0.000    0.002    0.000 colors.py:322(_to_rgba_no_colorcycle)
        8    0.001    0.000    0.002    0.000 enum.py:1708(convert_class)
       67    0.000    0.000    0.002    0.000 core.py:3909(__init__)
      147    0.002    0.000    0.002    0.000 _compiler.py:243(_optimize_charset)
      768    0.002    0.000    0.002    0.000 inspect.py:754(unwrap)
      443    0.001    0.000    0.002    0.000 __init__.py:179(sub)
       20    0.000    0.000    0.002    0.000 core.py:5040(parseImpl)
       32    0.001    0.000    0.002    0.000 colors.py:416(to_rgba_array)
     12/6    0.000    0.000    0.002    0.000 functools.py:977(__get__)
       44    0.000    0.000    0.002    0.000 _base.py:67(__set_name__)
     2051    0.001    0.000    0.002    0.000 typing.py:1161(_is_dunder)
     9402    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
        6    0.000    0.000    0.002    0.000 core.py:3055(re_match)
      350    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        6    0.000    0.000    0.002    0.000 core.py:3045(re)
    45/12    0.000    0.000    0.002    0.000 typing.py:1326(_determine_new_args)
    45/12    0.000    0.000    0.002    0.000 typing.py:1355(_make_substitution)
      151    0.001    0.000    0.002    0.000 fromnumeric.py:71(_wrapreduction)
      691    0.001    0.000    0.002    0.000 inspect.py:176(get_annotations)
       42    0.000    0.000    0.002    0.000 deprecation.py:131(deprecate)
     5930    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.002    0.002 ExifTags.py:21(Base)
     6507    0.002    0.000    0.002    0.000 enum.py:1129(__new__)
      410    0.000    0.000    0.002    0.000 typing.py:730(<genexpr>)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decimal.py:1(<module>)
      351    0.001    0.000    0.002    0.000 inspect.py:791(_findclass)
        1    0.000    0.000    0.002    0.002 twodim_base.py:1(<module>)
       51    0.000    0.000    0.002    0.000 linalg.py:215(_assert_finite)
       12    0.000    0.000    0.002    0.000 dataclasses.py:449(_create_fn)
   256/18    0.000    0.000    0.002    0.000 ast.py:403(visit)
  273/173    0.000    0.000    0.002    0.000 core.py:1908(name)
       86    0.000    0.000    0.002    0.000 core.py:3717(__init__)
      160    0.001    0.000    0.002    0.000 shape_base.py:612(column_stack)
1480/1310    0.001    0.000    0.002    0.000 {method 'update' of 'dict' objects}
      245    0.002    0.000    0.002    0.000 core.py:461(__init__)
  215/118    0.000    0.000    0.002    0.000 core.py:1878(default_name)
      703    0.001    0.000    0.002    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.002    0.002 struct.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _text_helpers.py:1(<module>)
     22/3    0.000    0.000    0.002    0.001 core.py:3944(streamline)
     2690    0.001    0.000    0.002    0.000 _parser.py:176(append)
     6479    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
   256/18    0.001    0.000    0.002    0.000 ast.py:409(generic_visit)
      100    0.000    0.000    0.002    0.000 fromnumeric.py:2979(prod)
     30/4    0.000    0.000    0.002    0.000 core.py:3791(streamline)
      798    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
      461    0.001    0.000    0.002    0.000 copy.py:247(_reconstruct)
       39    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
        1    0.000    0.000    0.002    0.002 font_manager.py:1570(_load_fontmanager)
       51    0.000    0.000    0.002    0.000 {method 'all' of 'numpy.ndarray' objects}
       39    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
     6261    0.002    0.000    0.002    0.000 {method '__contains__' of 'frozenset' objects}
       85    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
       11    0.000    0.000    0.002    0.000 typing.py:1850(__new__)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
     6298    0.002    0.000    0.002    0.000 _parser.py:240(__next)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
       14    0.000    0.000    0.002    0.000 core.py:115(doc_note)
        1    0.000    0.000    0.002    0.002 api.py:1(<module>)
       51    0.001    0.000    0.002    0.000 shape_base.py:219(vstack)
