run_LL.py: Size: 20, Steps: 1000, Exp. reps: 1, T*: 0.650: Order: 0.818, Mean ratio : 0.410, Time: 3.430115 s ± 0.000000 s
         1135378 function calls (1119755 primitive calls) in 4.512 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      429    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      356    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       56    0.003    0.000    0.006    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.006    0.006 dates.py:1(<module>)
        1    0.000    0.000    0.006    0.006 cm.py:32(_gen_cmap_registry)
     8831    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.006    0.006 artist.py:1(<module>)
    38186    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
       48    0.000    0.000    0.006    0.000 __init__.py:1355(_add_data_doc)
      317    0.001    0.000    0.006    0.000 overrides.py:142(decorator)
        1    0.000    0.000    0.006    0.006 ImagePalette.py:1(<module>)
        1    0.000    0.000    0.006    0.006 parse.py:1(<module>)
        3    0.000    0.000    0.006    0.002 patches.py:2283(__init_subclass__)
        1    0.000    0.000    0.006    0.006 transforms.py:1(<module>)
        6    0.000    0.000    0.005    0.001 patches.py:2325(pprint_styles)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
      435    0.003    0.000    0.005    0.000 enum.py:254(__set_name__)
     3282    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      604    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       38    0.002    0.000    0.005    0.000 __init__.py:355(namedtuple)
       12    0.000    0.000    0.005    0.000 core.py:1135(parse_string)
        1    0.000    0.000    0.005    0.005 _secondary_axes.py:1(<module>)
        1    0.000    0.000    0.005    0.005 table.py:1(<module>)
      799    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.005    0.005 _mathtext.py:1(<module>)
        1    0.000    0.000    0.005    0.005 units.py:1(<module>)
       13    0.000    0.000    0.005    0.000 rcsetup.py:426(validate_font_properties)
       10    0.000    0.000    0.005    0.000 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
   106/94    0.000    0.000    0.005    0.000 typing.py:515(__getitem__)
      255    0.001    0.000    0.005    0.000 typing.py:1269(__init__)
        1    0.000    0.000    0.005    0.005 legend.py:1(<module>)
       94    0.000    0.000    0.005    0.000 typing.py:694(Union)
        1    0.000    0.000    0.005    0.005 utils.py:1(<module>)
     1001    0.003    0.000    0.004    0.000 shape_base.py:81(atleast_2d)
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.004    0.004 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.004    0.004 rrule.py:1(<module>)
      302    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
      653    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:632(cached)
     6510    0.002    0.000    0.004    0.000 enum.py:726(__call__)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _afm.py:1(<module>)
      745    0.002    0.000    0.004    0.000 functools.py:35(update_wrapper)
      351    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     1001    0.002    0.000    0.004    0.000 linalg.py:159(_commonType)
       15    0.000    0.000    0.004    0.000 core.py:618(set_parse_action)
     7188    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
        2    0.000    0.000    0.004    0.002 exceptions.py:1(<module>)
       19    0.000    0.000    0.004    0.000 core.py:269(_trim_arity)
   306/12    0.001    0.000    0.004    0.000 core.py:811(_parseNoCache)
        1    0.000    0.000    0.004    0.004 random.py:1(<module>)
    72/12    0.000    0.000    0.004    0.000 core.py:3994(parseImpl)
        1    0.000    0.000    0.004    0.004 traceback.py:221(extract_stack)
       32    0.000    0.000    0.004    0.000 colors.py:1049(from_list)
        1    0.000    0.000    0.004    0.004 traceback.py:377(extract)
        1    0.000    0.000    0.004    0.004 traceback.py:399(_extract_from_extended_frame_gen)
        2    0.000    0.000    0.004    0.002 version.py:1(<module>)
       38    0.000    0.000    0.004    0.000 traceback.py:318(line)
      111    0.001    0.000    0.004    0.000 rcsetup.py:99(f)
       10    0.000    0.000    0.004    0.000 core.py:5642(__init__)
        2    0.000    0.000    0.004    0.002 linecache.py:26(getline)
        2    0.000    0.000    0.004    0.002 linecache.py:36(getlines)
        1    0.000    0.000    0.004    0.004 linecache.py:80(updatecache)
        1    0.000    0.000    0.004    0.004 decoder.py:1(<module>)
        1    0.000    0.000    0.004    0.004 pickle.py:1(<module>)
      409    0.000    0.000    0.004    0.000 rcsetup.py:332(validate_color)
      799    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.004    0.004 tz.py:1(<module>)
     30/9    0.000    0.000    0.004    0.000 core.py:4524(leave_whitespace)
        1    0.000    0.000    0.004    0.004 npyio.py:1(<module>)
       10    0.000    0.000    0.004    0.000 util.py:251(_inner)
        1    0.000    0.000    0.004    0.004 api.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _array_like.py:1(<module>)
      461    0.000    0.000    0.003    0.000 core.py:522(copy)
      117    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
       16    0.000    0.000    0.003    0.000 typing.py:2809(__new__)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
        1    0.000    0.000    0.003    0.003 bz2.py:1(<module>)
        3    0.000    0.000    0.003    0.001 _common.py:1(<module>)
        1    0.000    0.000    0.003    0.003 uuid.py:1(<module>)
        2    0.000    0.000    0.003    0.002 polynomial.py:1(<module>)
        1    0.000    0.000    0.003    0.003 decimal.py:1(<module>)
      537    0.001    0.000    0.003    0.000 enum.py:390(__setitem__)
      552    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
      461    0.001    0.000    0.003    0.000 copy.py:61(copy)
    13228    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
      412    0.000    0.000    0.003    0.000 colors.py:221(is_color_like)
     1001    0.000    0.000    0.003    0.000 _methods.py:39(_amax)
       16    0.000    0.000    0.003    0.000 typing.py:2790(_make_nmtuple)
      476    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        7    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
     62/9    0.000    0.000    0.003    0.000 core.py:3751(leave_whitespace)
      278    0.001    0.000    0.003    0.000 overrides.py:83(verify_matching_signatures)
   133/64    0.000    0.000    0.003    0.000 core.py:3843(copy)
     1229    0.000    0.000    0.003    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.003    0.003 expat.py:1(<module>)
      210    0.001    0.000    0.003    0.000 _compiler.py:511(_compile_info)
      317    0.000    0.000    0.003    0.000 function_base.py:497(add_newdoc)
      241    0.000    0.000    0.003    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.003    0.003 layout_engine.py:1(<module>)
     2679    0.001    0.000    0.003    0.000 cbook.py:405(_strip_comment)
        1    0.000    0.000    0.003    0.003 spines.py:1(<module>)
     7661    0.002    0.000    0.003    0.000 _parser.py:168(__getitem__)
      516    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.003    0.003 _tricontour.py:1(<module>)
      438    0.001    0.000    0.003    0.000 colors.py:275(to_rgba)
        1    0.000    0.000    0.003    0.003 _ufunc_config.py:1(<module>)
     1001    0.001    0.000    0.003    0.000 shape_base.py:215(_vhstack_dispatcher)
      351    0.001    0.000    0.003    0.000 inspect.py:801(_finddoc)
       18    0.000    0.000    0.003    0.000 rcsetup.py:690(cycler)
      799    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       53    0.000    0.000    0.003    0.000 util.py:240(replaced_by_pep8)
       22    0.000    0.000    0.002    0.000 core.py:4930(parseImpl)
     1229    0.000    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
    30827    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
      799    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
     1001    0.002    0.000    0.002    0.000 linalg.py:135(_makearray)
        7    0.000    0.000    0.002    0.000 core.py:2768(__init__)
        1    0.000    0.000    0.002    0.002 _typing.py:1(<module>)
      351    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
        1    0.000    0.000    0.002    0.002 _globals.py:1(<module>)
        1    0.000    0.000    0.002    0.002 core.py:394(ParserElement)
       24    0.001    0.000    0.002    0.000 util.py:186(_collapse_string_to_ranges)
       66    0.000    0.000    0.002    0.000 core.py:1417(__add__)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
 1675/192    0.000    0.000    0.002    0.000 <frozen abc>:121(__subclasscheck__)
 1675/192    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
     2992    0.002    0.000    0.002    0.000 inspect.py:3072(<genexpr>)
        1    0.000    0.000    0.002    0.002 heapq.py:1(<module>)
        1    0.000    0.000    0.002    0.002 version.py:161(Version)
       71    0.000    0.000    0.002    0.000 deprecation.py:260(rename_parameter)
    45/12    0.000    0.000    0.002    0.000 typing.py:1294(__getitem__)
        1    0.000    0.000    0.002    0.002 _dtype_like.py:1(<module>)
      420    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
     5681    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
     1715    0.001    0.000    0.002    0.000 typing.py:1215(__setattr__)
        1    0.002    0.002    0.002    0.002 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.002    0.002 font_manager.py:1570(_load_fontmanager)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
      720    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      147    0.001    0.000    0.002    0.000 _compiler.py:243(_optimize_charset)
    38/18    0.000    0.000    0.002    0.000 core.py:4512(parseImpl)
      334    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
       67    0.000    0.000    0.002    0.000 core.py:3909(__init__)
 1266/411    0.001    0.000    0.002    0.000 _parser.py:178(getwidth)
        1    0.000    0.000    0.002    0.002 font_manager.py:975(json_load)
        1    0.000    0.000    0.002    0.002 lzma.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
     1161    0.001    0.000    0.002    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
     5185    0.001    0.000    0.002    0.000 _parser.py:261(get)
      604    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
    10182    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
    26/14    0.000    0.000    0.002    0.000 core.py:4242(parseImpl)
        1    0.000    0.000    0.002    0.002 axes3d.py:40(Axes3D)
      605    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
      370    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
       44    0.000    0.000    0.002    0.000 _base.py:67(__set_name__)
        2    0.000    0.000    0.002    0.001 dataclasses.py:1264(wrap)
        2    0.000    0.000    0.002    0.001 dataclasses.py:921(_process_class)
      351    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     4311    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
      169    0.001    0.000    0.002    0.000 colors.py:322(_to_rgba_no_colorcycle)
       86    0.000    0.000    0.002    0.000 core.py:3717(__init__)
       20    0.000    0.000    0.002    0.000 core.py:5040(parseImpl)
       30    0.000    0.000    0.002    0.000 pathlib.py:1081(glob)
       58    0.000    0.000    0.002    0.000 core.py:3066(parseImpl)
      302    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        2    0.000    0.000    0.002    0.001 core.py:5932(srange)
       67    0.002    0.000    0.002    0.000 colors.py:1102(reversed)
      245    0.001    0.000    0.002    0.000 core.py:461(__init__)
       85    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
       42    0.000    0.000    0.002    0.000 deprecation.py:131(deprecate)
      597    0.000    0.000    0.002    0.000 __init__.py:164(match)
        8    0.001    0.000    0.002    0.000 enum.py:1708(convert_class)
      443    0.000    0.000    0.002    0.000 __init__.py:179(sub)
     9404    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
       32    0.000    0.000    0.002    0.000 colors.py:416(to_rgba_array)
        1    0.000    0.000    0.002    0.002 _char_codes.py:1(<module>)
     2003    0.002    0.000    0.002    0.000 {built-in method numpy.zeros}
      524    0.000    0.000    0.002    0.000 {built-in method builtins.next}
       39    0.000    0.000    0.002    0.000 typing.py:521(__getitem__)
      691    0.001    0.000    0.002    0.000 inspect.py:176(get_annotations)
        1    0.000    0.000    0.002    0.002 platform.py:1(<module>)
      255    0.000    0.000    0.002    0.000 typing.py:1174(__init__)
        1    0.000    0.000    0.002    0.002 base64.py:1(<module>)
      768    0.001    0.000    0.002    0.000 inspect.py:754(unwrap)
     2002    0.001    0.000    0.002    0.000 linalg.py:153(_realType)
        1    0.000    0.000    0.001    0.001 tokenize.py:445(open)
       39    0.000    0.000    0.001    0.000 typing.py:753(Literal)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
    45/12    0.000    0.000    0.001    0.000 typing.py:1326(_determine_new_args)
  273/173    0.000    0.000    0.001    0.000 core.py:1908(name)
      799    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.001    0.001 ExifTags.py:21(Base)
     12/6    0.000    0.000    0.001    0.000 functools.py:977(__get__)
        1    0.000    0.000    0.001    0.001 tokenize.py:352(detect_encoding)
    45/12    0.000    0.000    0.001    0.000 typing.py:1355(_make_substitution)
        6    0.000    0.000    0.001    0.000 core.py:3055(re_match)
      672    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
        6    0.000    0.000    0.001    0.000 core.py:3045(re)
        2    0.000    0.000    0.001    0.001 tokenize.py:376(read_or_stop)
  215/118    0.000    0.000    0.001    0.000 core.py:1878(default_name)
        2    0.001    0.001    0.001    0.001 {method 'readline' of '_io.BufferedReader' objects}
      461    0.000    0.000    0.001    0.000 copy.py:247(_reconstruct)
     22/3    0.000    0.000    0.001    0.000 core.py:3944(streamline)
      259    0.001    0.000    0.001    0.000 typing.py:262(_collect_parameters)
     2051    0.001    0.000    0.001    0.000 typing.py:1161(_is_dunder)
       29    0.001    0.000    0.001    0.000 pathlib.py:200(_select_from)
   256/18    0.000    0.000    0.001    0.000 ast.py:403(visit)
      160    0.001    0.000    0.001    0.000 shape_base.py:612(column_stack)
